id,submissionId,problemId,userId,title,language,difficulty,submittedAt,score
a9fbcdaa43e94b7b9090c1ca,31ed28ee234d45968e0841b5,4bdbeb866e0e473c97ae9653,92af04b7-66c4-432b-addf-b72295808220,Automated object-oriented array,JavaScript,Easy,2025-04-08T17:56:44.352831,78
b96447e848ef4d6e88efc45c,bcd4039287804ae5a5338980,ac2941366e86422dbc984fc1,65785219-2e04-4535-9087-5331538bc633,Vision-oriented motivating standardization,Go,Hard,2025-03-15T17:56:44.353469,28
eecc313a242e45428bea1c48,78b33eb3b55d455eb555d852,35eefef5490e4a1caaa3ae55,1f521d94-507c-43fe-a14d-b045d716347d,Object-based asynchronous standardization,JavaScript,Medium,2025-03-16T17:56:44.353848,13
09a798f3bc5b4c6eb3034ed1,55f3cf80e39e43bc80517fac,adffe0f98a624e609f239f50,dcc07756-f793-4cbb-a76d-2e5cc583ec92,Object-based 24hour hierarchy,Go,Hard,2025-03-24T17:56:44.354204,70
83302bca6816434e928087bd,6f20f2d7c91b46d2ab6dd713,ab9b0dbe682e4791944e954e,e9f26879-69fe-4e21-8ea6-7b86475f6028,Proactive uniform intranet,JavaScript,Easy,2025-04-01T17:56:44.354669,37
6c28a44b33df478c9b4dfe54,d8b001216afb4c5b88a32f7b,8daba1b2db474117bcb8acb5,bdacaa01-f424-41c2-9b5d-382fe0c37af2,Monitored stable interface,Python,Easy,2025-04-04T17:56:44.355094,11
20d7ab4692ed48eebe4c32f8,127ab5a75548480eba35ab8d,ad55c8e0c9d34494a7396d5e,bdacaa01-f424-41c2-9b5d-382fe0c37af2,Managed value-added access,JavaScript,Medium,2025-03-13T17:56:44.355584,90
32936111de994d748797e3af,83fce3c3db024bdc849ddb59,6d5b58b0235e496ab8f876f2,cca7d9a0-628e-4cf5-aad7-e4b576d1a813,Proactive 24/7 task-force,Python,Hard,2025-04-02T17:56:44.356011,35
54037674cca84a5c86502a0b,cae0546c6f554c759e5d4eca,ffdf7be4a047405ea9814f47,65785219-2e04-4535-9087-5331538bc633,Robust content-based analyzer,Go,Medium,2025-03-26T17:56:44.356415,78
82a60b10874443338f5baa4b,692538dd6c7a4932ba6af1aa,2b826cffd2224b9b8ea1b4f2,3310e3cf-23ee-4436-8e1d-8d722b321135,Multi-channeled directional complexity,Go,Hard,2025-03-26T17:56:44.356838,34
5122d83b8a0b41dfbe6e9593,78a9aa7074c647d887b60773,27b9507257d5443e930334cd,3310e3cf-23ee-4436-8e1d-8d722b321135,Enhanced uniform paradigm,Go,Easy,2025-03-19T17:56:44.357210,89
e1aa440e8cbd4b6fa2bcd318,a0721e3316a04f4fbc44e4cd,a596a8c6e4c243489066b832,1f521d94-507c-43fe-a14d-b045d716347d,Realigned background firmware,Go,Easy,2025-04-09T17:56:44.357570,81
db341017eefc490caa282c8c,e14ec63af7b6468680ab75b7,a3110ded729045b7a11fd9f9,1f521d94-507c-43fe-a14d-b045d716347d,Multi-tiered national ability,Go,Hard,2025-03-22T17:56:44.358009,2
199f1f15ec7d4dd387e291a9,1b334c9d44194922aef6d888,41c1dd9953ed43aaa8f6bfd3,1f521d94-507c-43fe-a14d-b045d716347d,Self-enabling systematic capability,Go,Hard,2025-03-11T17:56:44.358507,2
f8cc1a7acb9a4692804960de,ad17ddc43fa64170b6d84d0c,770f7147048749b19301294c,cca7d9a0-628e-4cf5-aad7-e4b576d1a813,Self-enabling encompassing firmware,JavaScript,Medium,2025-03-28T17:56:44.358924,44
48a451cf6d144b64ab795d8d,0b6ecce665c34d5a81055839,286edab4be2b416c8a5650e9,393c22fe-408c-4b27-866c-45980d808371,Customer-focused clear-thinking array,JavaScript,Medium,2025-04-05T17:56:44.359453,25
cf0768de34a64810827e88be,42f7fa5edc0b4f488ee8638a,e0e1de58de7149728fbbbfab,dcc07756-f793-4cbb-a76d-2e5cc583ec92,Reverse-engineered motivating installation,Go,Easy,2025-03-30T17:56:44.360185,100
